PID,MS SubClass,MS Zoning,Lot Frontage,Lot Area,Street,Alley,Lot Shape,Land Contour,Utilities,Lot Config,Land Slope,Neighborhood,Condition 1,Condition 2,Bldg Type,House Style,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Roof Style,Roof Matl,Exterior 1st,Exterior 2nd,Mas Vnr Type,Mas Vnr Area,Exter Qual,Exter Cond,Foundation,Bsmt Qual,Bsmt Cond,Bsmt Exposure,BsmtFin Type 1,BsmtFin SF 1,BsmtFin Type 2,BsmtFin SF 2,Bsmt Unf SF,Total Bsmt SF,Heating,Heating QC,Central Air,Electrical,1st Flr SF,2nd Flr SF,Low Qual Fin SF,Gr Liv Area,Bsmt Full Bath,Bsmt Half Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,Kitchen Qual,TotRms AbvGrd,Functional,Fireplaces,Fireplace Qu,Garage Type,Garage Yr Blt,Garage Finish,Garage Cars,Garage Area,Garage Qual,Garage Cond,Paved Drive,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Screen Porch,Pool Area,Pool QC,Fence,Misc Feature,Misc Val,Mo Sold,Yr Sold,Sale Type,Sale Condition,SalePrice,log_SalePrice
526301100,20,RL,141.0,31770,Pave,,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,1960-01-01,1960-01-01,Hip,CompShg,BrkFace,Plywood,Stone,112.0,3,3,CBlock,3,4,4,4,639.0,1,0.0,441.0,1080.0,GasA,2,Y,SBrkr,1656,0,0,1656,1,0,1,0,3,1,3,7,8,2,4,Attchd,1960-01-01,Fin,2,528.0,3,3,P,210,62,0,0,0,0,0,0,,0,5,2010-01-01,WD,Normal,215000,12.278397958261774
526350040,20,RH,80.0,11622,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Feedr,Norm,1Fam,1Story,5,6,1961-01-01,1961-01-01,Gable,CompShg,VinylSd,VinylSd,,0.0,3,3,CBlock,3,3,1,3,468.0,2,144.0,270.0,882.0,GasA,3,Y,SBrkr,896,0,0,896,0,0,1,0,2,1,3,5,8,0,0,Attchd,1961-01-01,Unf,1,730.0,3,3,Y,140,0,0,0,120,0,0,0,,0,6,2010-01-01,WD,Normal,105000,11.561725152903833
526351010,20,RL,81.0,14267,Pave,,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,6,1958-01-01,1958-01-01,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,108.0,3,3,CBlock,3,3,1,5,923.0,1,0.0,406.0,1329.0,GasA,3,Y,SBrkr,1329,0,0,1329,0,0,1,1,3,1,4,6,8,0,0,Attchd,1958-01-01,Unf,1,312.0,3,3,Y,393,36,0,0,0,0,0,0,Gar2,12500,6,2010-01-01,WD,Normal,172000,12.055255569732177
526353030,20,RL,93.0,11160,Pave,,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,7,5,1968-01-01,1968-01-01,Hip,CompShg,BrkFace,BrkFace,,0.0,4,3,CBlock,3,3,1,5,1065.0,1,0.0,1045.0,2110.0,GasA,5,Y,SBrkr,2110,0,0,2110,1,0,2,1,3,1,5,8,8,2,3,Attchd,1968-01-01,Fin,2,522.0,3,3,Y,0,0,0,0,0,0,0,0,,0,4,2010-01-01,WD,Normal,244000,12.404927602627597
527105010,60,RL,74.0,13830,Pave,,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,5,5,1997-01-01,1998-01-01,Gable,CompShg,VinylSd,VinylSd,,0.0,3,3,PConc,4,3,1,6,791.0,1,0.0,137.0,928.0,GasA,4,Y,SBrkr,928,701,0,1629,0,0,2,1,3,1,3,6,8,1,3,Attchd,1997-01-01,Fin,2,482.0,3,3,Y,212,34,0,0,0,0,0,0,,0,3,2010-01-01,WD,Normal,189900,12.15425816271595
527105030,60,RL,78.0,9978,Pave,,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,6,1998-01-01,1998-01-01,Gable,CompShg,VinylSd,VinylSd,BrkFace,20.0,3,3,PConc,3,3,1,6,602.0,1,0.0,324.0,926.0,GasA,5,Y,SBrkr,926,678,0,1604,0,0,2,1,3,1,4,7,8,1,4,Attchd,1998-01-01,Fin,2,470.0,3,3,Y,360,36,0,0,0,0,0,0,,0,6,2010-01-01,WD,Normal,195500,12.18332077348399
527127150,120,RL,41.0,4920,Pave,,Reg,Lvl,AllPub,Inside,Gtl,StoneBr,Norm,Norm,TwnhsE,1Story,8,5,2001-01-01,2001-01-01,Gable,CompShg,CemntBd,CmentBd,,0.0,4,3,PConc,4,3,2,6,616.0,1,0.0,722.0,1338.0,GasA,5,Y,SBrkr,1338,0,0,1338,1,0,2,0,2,1,4,6,8,0,0,Attchd,2001-01-01,Fin,2,582.0,3,3,Y,0,0,170,0,0,0,0,0,,0,4,2010-01-01,WD,Normal,213500,12.271396795480596
527145080,120,RL,43.0,5005,Pave,,IR1,HLS,AllPub,Inside,Gtl,StoneBr,Norm,Norm,TwnhsE,1Story,8,5,1992-01-01,1992-01-01,Gable,CompShg,HdBoard,HdBoard,,0.0,4,3,PConc,4,3,1,5,263.0,1,0.0,1017.0,1280.0,GasA,5,Y,SBrkr,1280,0,0,1280,0,0,2,0,2,1,4,5,8,0,0,Attchd,1992-01-01,RFn,2,506.0,3,3,Y,0,82,0,0,144,0,0,0,,0,1,2010-01-01,WD,Normal,191500,12.162648309521318
527146030,120,RL,39.0,5389,Pave,,IR1,Lvl,AllPub,Inside,Gtl,StoneBr,Norm,Norm,TwnhsE,1Story,8,5,1995-01-01,1996-01-01,Gable,CompShg,CemntBd,CmentBd,,0.0,4,3,PConc,4,3,1,6,1180.0,1,0.0,415.0,1595.0,GasA,5,Y,SBrkr,1616,0,0,1616,1,0,2,0,2,1,4,5,8,1,3,Attchd,1995-01-01,RFn,2,608.0,3,3,Y,237,152,0,0,0,0,0,0,,0,3,2010-01-01,WD,Normal,236500,12.373707715234994
527162130,60,RL,60.0,7500,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,7,5,1999-01-01,1999-01-01,Gable,CompShg,VinylSd,VinylSd,,0.0,3,3,PConc,3,3,1,1,0.0,1,0.0,994.0,994.0,GasA,4,Y,SBrkr,1028,776,0,1804,0,0,2,1,3,1,4,7,8,1,3,Attchd,1999-01-01,Fin,2,442.0,3,3,Y,140,60,0,0,0,0,0,0,,0,6,2010-01-01,WD,Normal,189000,12.149507585033072
527163010,60,RL,75.0,10000,Pave,,IR1,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,5,1993-01-01,1994-01-01,Gable,CompShg,HdBoard,HdBoard,,0.0,3,3,PConc,4,3,1,1,0.0,1,0.0,763.0,763.0,GasA,4,Y,SBrkr,763,892,0,1655,0,0,2,1,3,1,3,7,8,1,3,Attchd,1993-01-01,Fin,2,440.0,3,3,Y,157,84,0,0,0,0,0,0,,0,4,2010-01-01,WD,Normal,175900,12.077676615757813
527165230,20,RL,64.0,7980,Pave,,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,1Story,6,7,1992-01-01,2007-01-01,Gable,CompShg,HdBoard,HdBoard,,0.0,3,4,PConc,4,3,1,5,935.0,1,0.0,233.0,1168.0,GasA,5,Y,SBrkr,1187,0,0,1187,1,0,2,0,3,1,3,6,8,0,0,Attchd,1992-01-01,Fin,2,420.0,3,3,Y,483,21,0,0,0,0,0,0,Shed,500,3,2010-01-01,WD,Normal,185000,12.128116509451258
527166040,60,RL,63.0,8402,Pave,,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,5,1998-01-01,1998-01-01,Gable,CompShg,VinylSd,VinylSd,,0.0,3,3,PConc,4,3,1,1,0.0,1,0.0,789.0,789.0,GasA,4,Y,SBrkr,789,676,0,1465,0,0,2,1,3,1,3,7,8,1,4,Attchd,1998-01-01,Fin,2,393.0,3,3,Y,0,75,0,0,0,0,0,0,,0,5,2010-01-01,WD,Normal,180400,12.102937429832547
527180040,20,RL,85.0,10176,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,1Story,7,5,1990-01-01,1990-01-01,Gable,CompShg,HdBoard,HdBoard,,0.0,3,3,PConc,4,3,4,6,637.0,1,0.0,663.0,1300.0,GasA,4,Y,SBrkr,1341,0,0,1341,1,0,1,1,2,1,4,5,8,1,1,Attchd,1990-01-01,Unf,2,506.0,3,3,Y,192,0,0,0,0,0,0,0,,0,2,2010-01-01,WD,Normal,171500,12.052344376474922
527182190,120,RL,60.0,6820,Pave,,IR1,Lvl,AllPub,Corner,Gtl,StoneBr,Norm,Norm,TwnhsE,1Story,8,5,1985-01-01,1985-01-01,Gable,CompShg,HdBoard,HdBoard,,0.0,4,3,PConc,4,3,3,6,368.0,4,1120.0,0.0,1488.0,GasA,3,Y,SBrkr,1502,0,0,1502,1,0,1,1,1,1,4,4,8,0,0,Attchd,1985-01-01,RFn,2,528.0,3,3,Y,0,54,0,0,140,0,0,0,,0,6,2010-01-01,WD,Normal,212000,12.264346270624157
527216070,60,RL,47.0,53504,Pave,,IR2,HLS,AllPub,CulDSac,Mod,StoneBr,Norm,Norm,1Fam,2Story,8,5,2003-01-01,2003-01-01,Hip,CompShg,CemntBd,Wd Shng,BrkFace,603.0,5,3,PConc,4,3,4,5,1416.0,1,0.0,234.0,1650.0,GasA,5,Y,SBrkr,1690,1589,0,3279,1,0,3,1,4,1,5,12,5,1,4,BuiltIn,2003-01-01,Fin,3,841.0,3,3,Y,503,36,0,0,210,0,0,0,,0,6,2010-01-01,WD,Normal,538000,13.195615697878253
527225035,50,RL,152.0,12134,Pave,,IR1,Bnk,AllPub,Inside,Mod,Gilbert,Norm,Norm,1Fam,1.5Fin,8,7,1988-01-01,2005-01-01,Gable,CompShg,Wd Sdng,Wd Sdng,,0.0,4,3,Wood,4,3,3,6,427.0,1,0.0,132.0,559.0,GasA,4,Y,SBrkr,1080,672,0,1752,0,0,2,0,4,1,3,8,8,0,0,Basment,1988-01-01,RFn,2,492.0,3,3,Y,325,12,0,0,0,0,0,0,,0,6,2010-01-01,WD,Normal,164000,12.00762780434872
527258010,20,RL,88.0,11394,Pave,,Reg,Lvl,AllPub,Corner,Gtl,StoneBr,Norm,Norm,1Fam,1Story,9,2,2010-01-01,2010-01-01,Hip,CompShg,VinylSd,VinylSd,Stone,350.0,4,3,PConc,5,3,3,6,1445.0,1,0.0,411.0,1856.0,GasA,5,Y,SBrkr,1856,0,0,1856,1,0,1,1,1,1,5,8,8,1,5,Attchd,2010-01-01,Fin,3,834.0,3,3,Y,113,0,0,0,0,0,0,0,,0,6,2010-01-01,New,Partial,394432,12.885204569609956
527276150,20,RL,140.0,19138,Pave,,Reg,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Norm,1Fam,1Story,4,5,1951-01-01,1951-01-01,Gable,CompShg,VinylSd,VinylSd,,0.0,3,3,CBlock,3,3,1,2,120.0,1,0.0,744.0,864.0,GasA,5,Y,SBrkr,864,0,0,864,0,0,1,0,2,1,3,4,8,0,0,Detchd,1951-01-01,Unf,2,400.0,3,3,Y,0,0,0,0,0,0,0,0,,0,6,2010-01-01,WD,Normal,141000,11.856522261533737
527302110,20,RL,85.0,13175,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,1Story,6,6,1978-01-01,1988-01-01,Gable,CompShg,Plywood,Plywood,Stone,119.0,3,3,CBlock,4,3,1,5,790.0,3,163.0,589.0,1542.0,GasA,3,Y,SBrkr,2073,0,0,2073,1,0,2,0,3,1,3,7,7,2,3,Attchd,1978-01-01,Unf,2,500.0,3,3,Y,349,0,0,0,0,0,0,0,,0,2,2010-01-01,WD,Normal,210000,12.25486757159303
527358140,20,RL,105.0,11751,Pave,,IR1,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,1Story,6,6,1977-01-01,1977-01-01,Hip,CompShg,Plywood,Plywood,BrkFace,480.0,3,3,CBlock,4,3,1,4,705.0,1,0.0,1139.0,1844.0,GasA,5,Y,SBrkr,1844,0,0,1844,0,0,2,0,3,1,3,7,8,1,3,Attchd,1977-01-01,RFn,2,546.0,3,3,Y,0,122,0,0,0,0,0,0,,0,1,2010-01-01,COD,Normal,190000,12.154784614286667
527358200,85,RL,85.0,10625,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,SFoyer,7,6,1974-01-01,1974-01-01,Gable,CompShg,Plywood,Plywood,BrkFace,81.0,3,3,CBlock,4,3,4,6,885.0,2,168.0,0.0,1053.0,GasA,3,Y,SBrkr,1173,0,0,1173,1,0,2,0,3,1,4,6,8,2,3,Attchd,1974-01-01,RFn,2,528.0,3,3,Y,0,120,0,0,0,0,0,0,,0,1,2010-01-01,WD,Family,170000,12.04355959836804
527368020,60,FV,72.5,7500,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,2Story,7,5,2000-01-01,2000-01-01,Gable,CompShg,VinylSd,VinylSd,,0.0,4,3,PConc,4,3,1,6,533.0,1,0.0,281.0,814.0,GasA,5,Y,SBrkr,814,860,0,1674,1,0,2,1,3,1,4,7,8,0,0,Attchd,2000-01-01,RFn,2,663.0,3,3,Y,0,96,0,0,0,0,0,0,,0,1,2010-01-01,WD,Normal,216000,12.283038316285214
527402200,20,RL,73.0,11241,Pave,,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,7,1970-01-01,1970-01-01,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,180.0,3,3,CBlock,3,3,1,5,578.0,1,0.0,426.0,1004.0,GasA,5,Y,SBrkr,1004,0,0,1004,1,0,1,0,2,1,3,5,8,1,3,Attchd,1970-01-01,Fin,2,480.0,3,3,Y,0,0,0,0,0,0,0,0,Shed,700,3,2010-01-01,WD,Normal,149000,11.91170829631447
527402250,20,RL,73.0,12537,Pave,,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1971-01-01,2008-01-01,Gable,CompShg,VinylSd,VinylSd,,0.0,3,3,CBlock,3,3,1,6,734.0,1,0.0,344.0,1078.0,GasA,5,Y,SBrkr,1078,0,0,1078,1,0,1,1,3,1,3,6,8,1,2,Attchd,1971-01-01,Fin,2,500.0,3,3,Y,0,0,0,0,0,0,0,0,,0,4,2010-01-01,WD,Normal,149900,11.917730355182513
527403020,20,RL,65.0,8450,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1968-01-01,1968-01-01,Gable,CompShg,VinylSd,VinylSd,,0.0,3,3,CBlock,3,3,1,4,775.0,1,0.0,281.0,1056.0,GasA,5,Y,SBrkr,1056,0,0,1056,1,0,1,0,3,1,3,6,8,1,2,Attchd,1968-01-01,Unf,1,304.0,3,3,Y,0,85,184,0,0,0,0,0,,0,7,2010-01-01,WD,Normal,142000,11.863589378812122
527404120,20,RL,70.0,8400,Pave,,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,4,5,1970-01-01,1970-01-01,Gable,CompShg,Plywood,Plywood,,0.0,3,3,CBlock,3,3,1,5,804.0,3,78.0,0.0,882.0,GasA,3,Y,SBrkr,882,0,0,882,1,0,1,0,2,1,3,4,8,0,0,Attchd,1970-01-01,Fin,2,525.0,3,3,Y,240,0,0,0,0,0,0,0,,0,4,2010-01-01,WD,Normal,126000,11.744045122410057
527425090,20,RL,70.0,10500,Pave,,Reg,Lvl,AllPub,FR2,Gtl,NAmes,Norm,Norm,1Fam,1Story,4,5,1971-01-01,1971-01-01,Gable,CompShg,HdBoard,HdBoard,,0.0,3,3,CBlock,3,3,1,5,432.0,1,0.0,432.0,864.0,GasA,3,Y,SBrkr,864,0,0,864,0,0,1,0,3,1,3,5,8,1,1,Attchd,1971-01-01,Unf,0,0.0,0,0,Y,0,0,0,0,0,0,0,0,,0,4,2010-01-01,ConLI,Normal,115000,11.652696102959753
527427230,120,RH,26.0,5858,Pave,,IR1,Lvl,AllPub,FR2,Gtl,NAmes,Norm,Norm,TwnhsE,1Story,7,5,1999-01-01,1999-01-01,Gable,CompShg,MetalSd,MetalSd,,0.0,4,3,PConc,4,3,1,6,1051.0,4,0.0,354.0,1405.0,GasA,5,Y,SBrkr,1337,0,0,1337,1,0,2,0,2,1,4,5,8,1,2,Attchd,1999-01-01,Fin,2,511.0,3,3,Y,203,68,0,0,0,0,0,0,,0,6,2010-01-01,WD,Normal,184000,12.122696471358964
527451180,160,RM,21.0,1680,Pave,,Reg,Lvl,AllPub,Inside,Gtl,BrDale,Norm,Norm,Twnhs,2Story,6,5,1971-01-01,1971-01-01,Gable,CompShg,HdBoard,HdBoard,BrkFace,504.0,3,3,CBlock,3,3,1,3,156.0,1,0.0,327.0,483.0,GasA,3,Y,SBrkr,483,504,0,987,0,0,1,1,2,1,3,5,8,0,0,Detchd,1971-01-01,Unf,1,264.0,3,3,Y,275,0,0,0,0,0,0,0,,0,2,2010-01-01,COD,Normal,96000,11.472113887062386
527451330,160,RM,21.0,1680,Pave,,Reg,Lvl,AllPub,Inside,Gtl,BrDale,Norm,Norm,Twnhs,2Story,5,5,1971-01-01,1971-01-01,Gable,CompShg,HdBoard,HdBoard,BrkFace,492.0,3,3,CBlock,3,3,1,3,300.0,1,0.0,225.0,525.0,GasA,3,Y,SBrkr,525,567,0,1092,0,0,1,1,3,1,3,6,8,0,0,Detchd,1997-01-01,Unf,1,320.0,3,3,Y,0,0,0,0,0,0,0,0,,0,3,2010-01-01,WD,Normal,105500,11.566475710526321
