PID,MS SubClass,MS Zoning,Lot Frontage,Lot Area,Street,Alley,Lot Shape,Land Contour,Utilities,Lot Config,Land Slope,Neighborhood,Condition 1,Condition 2,Bldg Type,House Style,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Roof Style,Roof Matl,Exterior 1st,Exterior 2nd,Mas Vnr Type,Mas Vnr Area,Exter Qual,Exter Cond,Foundation,Bsmt Qual,Bsmt Cond,Bsmt Exposure,BsmtFin Type 1,BsmtFin SF 1,BsmtFin Type 2,BsmtFin SF 2,Bsmt Unf SF,Total Bsmt SF,Heating,Heating QC,Central Air,Electrical,1st Flr SF,2nd Flr SF,Low Qual Fin SF,Gr Liv Area,Bsmt Full Bath,Bsmt Half Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,Kitchen Qual,TotRms AbvGrd,Functional,Fireplaces,Fireplace Qu,Garage Type,Garage Yr Blt,Garage Finish,Garage Cars,Garage Area,Garage Qual,Garage Cond,Paved Drive,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Screen Porch,Pool Area,Pool QC,Fence,Misc Feature,Misc Val,Mo Sold,Yr Sold,Sale Type,Sale Condition,SalePrice,Total_Bathrooms,Total_Bsmt_Finished_SF,Total_Porch_SF,Total_House_SF,Outdoor_SF,House_Age,Since_Remodel,Garage_Age,Area_per_Room,Area_per_Bedroom,Bathrooms_per_Bedroom,Outdoor_to_TotalArea,Basement_to_Living_Ratio,Quality_x_Area,Quality_x_TotalSF,Condition_x_Age,Rooms_x_Bathrooms,Bedrooms_x_Bathrooms,Bsmt_Quality_x_FinishedSF,log_Lot_Area,log_Gr_Liv_Area,log_Total_House_SF,log_Total_Bsmt_Finished_SF,log_Total_Porch_SF,log_Outdoor_SF,log_SalePrice
526301100,20,RL,141.0,31770,Pave,None,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,1960-01-01,1960-01-01,Hip,CompShg,BrkFace,Plywood,Stone,112.0,3,3,CBlock,3,4,4,4,639.0,1,0.0,441.0,1080.0,GasA,2,Y,SBrkr,1656,0,0,1656,1,0,1,0,3,1,3,7,8,2,4,Attchd,1960-01-01,Fin,2,528.0,3,3,P,210,62,0,0,0,0,0,0,None,0,5,2010-01-01,WD,Normal,215000,2.0,639.0,62,2295.0,272,50,50,50,236.57142857142858,552.0,0.6666666666666666,0.11846689895470383,0.3856366928183464,9936,13770.0,250,14.0,6.0,1917.0,10.366309203003638,7.4127640174265625,7.738923757439457,6.461468176353717,4.143134726391533,5.60947179518496,12.278397958261774
526350040,20,RH,80.0,11622,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Feedr,Norm,1Fam,1Story,5,6,1961-01-01,1961-01-01,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,CBlock,3,3,1,3,468.0,2,144.0,270.0,882.0,GasA,3,Y,SBrkr,896,0,0,896,0,0,1,0,2,1,3,5,8,0,0,Attchd,1961-01-01,Unf,1,730.0,3,3,Y,140,0,0,0,120,0,0,0,None,0,6,2010-01-01,WD,Normal,105000,1.0,612.0,120,1508.0,140,49,49,49,179.2,448.0,0.5,0.0927766732935719,0.6822742474916388,4480,7540.0,294,5.0,2.0,1836.0,9.360741172643708,6.799055862058796,7.319202458767849,6.418364935936212,4.795790545596741,4.948759890378168,11.561725152903833
526351010,20,RL,81.0,14267,Pave,None,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,6,1958-01-01,1958-01-01,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,108.0,3,3,CBlock,3,3,1,5,923.0,1,0.0,406.0,1329.0,GasA,3,Y,SBrkr,1329,0,0,1329,0,0,1,1,3,1,4,6,8,0,0,Attchd,1958-01-01,Unf,1,312.0,3,3,Y,393,36,0,0,0,0,0,0,Gar2,12500,6,2010-01-01,WD,Normal,172000,1.5,923.0,36,2252.0,429,52,52,52,221.5,443.0,0.5,0.1904127829560586,0.693984962406015,7974,13512.0,312,9.0,4.5,2769.0,9.565774546478782,7.1929342212158,7.720017940432244,6.828712071641684,3.6109179126442243,6.063785208687608,12.055255569732177
526353030,20,RL,93.0,11160,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,7,5,1968-01-01,1968-01-01,Hip,CompShg,BrkFace,BrkFace,None,0.0,4,3,CBlock,3,3,1,5,1065.0,1,0.0,1045.0,2110.0,GasA,5,Y,SBrkr,2110,0,0,2110,1,0,2,1,3,1,5,8,8,2,3,Attchd,1968-01-01,Fin,2,522.0,3,3,Y,0,0,0,0,0,0,0,0,None,0,4,2010-01-01,WD,Normal,244000,3.5,1065.0,0,3175.0,0,42,42,42,263.75,703.3333333333334,1.1666666666666667,0.0,0.5045002368545712,14770,22225.0,210,28.0,10.5,3195.0,9.320180837655714,7.65491704784832,8.063377822367027,6.97166860472579,0.0,0.0,12.404927602627597
527105010,60,RL,74.0,13830,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,5,5,1997-01-01,1998-01-01,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,PConc,4,3,1,6,791.0,1,0.0,137.0,928.0,GasA,4,Y,SBrkr,928,701,0,1629,0,0,2,1,3,1,3,6,8,1,3,Attchd,1997-01-01,Fin,2,482.0,3,3,Y,212,34,0,0,0,0,0,0,None,0,3,2010-01-01,WD,Normal,189900,2.5,791.0,34,2420.0,246,13,12,13,271.5,543.0,0.8333333333333334,0.10161090458488228,0.4852760736196319,8145,12100.0,65,15.0,7.5,3164.0,9.534667728624708,7.396335293800808,7.791935956938058,6.674561391814426,3.5553480614894135,5.5093883366279774,12.15425816271595
527105030,60,RL,78.0,9978,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,6,1998-01-01,1998-01-01,Gable,CompShg,VinylSd,VinylSd,BrkFace,20.0,3,3,PConc,3,3,1,6,602.0,1,0.0,324.0,926.0,GasA,5,Y,SBrkr,926,678,0,1604,0,0,2,1,3,1,4,7,8,1,4,Attchd,1998-01-01,Fin,2,470.0,3,3,Y,360,36,0,0,0,0,0,0,None,0,6,2010-01-01,WD,Normal,195500,2.5,602.0,36,2206.0,396,12,12,12,229.14285714285714,534.6666666666666,0.8333333333333334,0.17942908926144088,0.3750778816199377,9624,13236.0,72,17.5,7.5,1806.0,9.208238163884312,7.380879035564116,7.699389406256737,6.401917196727186,3.6109179126442243,5.983936280687191,12.18332077348399
527127150,120,RL,41.0,4920,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,StoneBr,Norm,Norm,TwnhsE,1Story,8,5,2001-01-01,2001-01-01,Gable,CompShg,CemntBd,CmentBd,None,0.0,4,3,PConc,4,3,2,6,616.0,1,0.0,722.0,1338.0,GasA,5,Y,SBrkr,1338,0,0,1338,1,0,2,0,2,1,4,6,8,0,0,Attchd,2001-01-01,Fin,2,582.0,3,3,Y,0,0,170,0,0,0,0,0,None,0,4,2010-01-01,WD,Normal,213500,3.0,616.0,170,1954.0,0,9,9,9,223.0,669.0,1.5,0.0,0.46004480955937266,10704,15632.0,45,18.0,6.0,2464.0,8.501267040865978,7.199678345691172,7.578145472419466,6.424869023905388,5.14166355650266,0.0,12.271396795480596
527145080,120,RL,43.0,5005,Pave,None,IR1,HLS,AllPub,Inside,Gtl,StoneBr,Norm,Norm,TwnhsE,1Story,8,5,1992-01-01,1992-01-01,Gable,CompShg,HdBoard,HdBoard,None,0.0,4,3,PConc,4,3,1,5,263.0,1,0.0,1017.0,1280.0,GasA,5,Y,SBrkr,1280,0,0,1280,0,0,2,0,2,1,4,5,8,0,0,Attchd,1992-01-01,RFn,2,506.0,3,3,Y,0,82,0,0,144,0,0,0,None,0,1,2010-01-01,WD,Normal,191500,2.0,263.0,226,1543.0,82,18,18,18,256.0,640.0,1.0,0.05310880829015544,0.20530835284933646,10240,12344.0,90,10.0,4.0,1052.0,8.518392471991719,7.155396301896734,7.342131730584722,5.575949103146316,5.424950017481403,4.418840607796598,12.162648309521318
527146030,120,RL,39.0,5389,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,StoneBr,Norm,Norm,TwnhsE,1Story,8,5,1995-01-01,1996-01-01,Gable,CompShg,CemntBd,CmentBd,None,0.0,4,3,PConc,4,3,1,6,1180.0,1,0.0,415.0,1595.0,GasA,5,Y,SBrkr,1616,0,0,1616,1,0,2,0,2,1,4,5,8,1,3,Attchd,1995-01-01,RFn,2,608.0,3,3,Y,237,152,0,0,0,0,0,0,None,0,3,2010-01-01,WD,Normal,236500,3.0,1180.0,152,2796.0,389,15,14,15,323.2,808.0,1.5,0.13907758312477655,0.7297464440321583,12928,22368.0,75,15.0,6.0,4720.0,8.592300663903043,7.388327859577107,7.936302693201959,7.074116816197362,5.030437921392435,5.966146739123692,12.373707715234994
527162130,60,RL,60.0,7500,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,7,5,1999-01-01,1999-01-01,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,PConc,3,3,1,1,0.0,1,0.0,994.0,994.0,GasA,4,Y,SBrkr,1028,776,0,1804,0,0,2,1,3,1,4,7,8,1,3,Attchd,1999-01-01,Fin,2,442.0,3,3,Y,140,60,0,0,0,0,0,0,None,0,6,2010-01-01,WD,Normal,189000,2.5,0.0,60,1804.0,200,11,11,11,257.7142857142857,601.3333333333334,0.8333333333333334,0.11080332409972299,0.0,12628,12628.0,55,17.5,7.5,0.0,8.922791623969637,7.498315870766981,7.498315870766981,0.0,4.110873864173311,5.303304908059076,12.149507585033072
